; -----------
; File select
; -----------

[$0C:$CEDF] $7E:F000[2] = $0000 | Room $0000
[$0C:$CEFB] $7E:F430[2] = $0000 | 
[$0C:$CEDF] $7E:F032[2] = $0000 | Room $0019
[$0C:$CEE6] $7E:F132[2] = $0000 | Room $0099
[$0C:$CEED] $7E:F232[2] = $0000 | Room $0119
[$0C:$CEF4] $7E:F332[2] = $0000 | 
[$0C:$CEFB] $7E:F432[2] = $0000 | 
[$0C:$CEDF] $7E:F034[2] = $0000 | Room $001A
[$0C:$CEE6] $7E:F134[2] = $0000 | Room $009A
[$0C:$CEED] $7E:F234[2] = $0000 | Room $011A
[$0C:$CEF4] $7E:F334[2] = $0000 | 
[$0C:$CEFB] $7E:F434[2] = $0000 | 
[$0C:$CEDF] $7E:F036[2] = $0000 | Room $001B
[$0C:$CEE6] $7E:F136[2] = $0000 | Room $009B
[$0C:$CEED] $7E:F236[2] = $0000 | Room $011B
[$0C:$CEF4] $7E:F336[2] = $0000 | 
[$0C:$CEFB] $7E:F436[2] = $0000 | 
[$0C:$CEDF] $7E:F038[2] = $0000 | Room $001C
[$0C:$CEE6] $7E:F138[2] = $0000 | Room $009C
[$0C:$CEED] $7E:F238[2] = $0000 | Room $011C
[$0C:$CEF4] $7E:F338[2] = $0000 | 
[$0C:$CEFB] $7E:F438[2] = $0000 | 
[$0C:$CEDF] $7E:F03A[2] = $0000 | Room $001D
[$0C:$CEE6] $7E:F13A[2] = $0000 | Room $009D
[$0C:$CEED] $7E:F23A[2] = $0000 | Room $011D
[$0C:$CEF4] $7E:F33A[2] = $0000 | 
[$0C:$CEFB] $7E:F43A[2] = $0000 | 
[$0C:$CEDF] $7E:F03C[2] = $0000 | Room $001E
[$0C:$CEE6] $7E:F13C[2] = $0000 | Room $009E
[$0C:$CEED] $7E:F23C[2] = $0000 | Room $011E
[$0C:$CEF4] $7E:F33C[2] = $0000 | 
[$0C:$CEFB] $7E:F43C[2] = $0000 | 
[$0C:$CEDF] $7E:F03E[2] = $0000 | Room $001F
[$0C:$CEE6] $7E:F13E[2] = $0000 | Room $009F
[$0C:$CEED] $7E:F23E[2] = $0000 | Room $011F
[$0C:$CEF4] $7E:F33E[2] = $0000 | 
[$0C:$CEFB] $7E:F43E[2] = $0000 | 
[$0C:$CEDF] $7E:F040[2] = $0000 | Room $0020
[$0C:$CEE6] $7E:F140[2] = $0000 | Room $00A0
[$0C:$CEED] $7E:F240[2] = $0000 | Room $0120
[$0C:$CEF4] $7E:F340[2] = $0000 | Bow
[$0C:$CEFB] $7E:F440[2] = $0000 | 
[$0C:$CEDF] $7E:F042[2] = $0000 | Room $0021
[$0C:$CEE6] $7E:F142[2] = $0000 | Room $00A1
[$0C:$CEED] $7E:F242[2] = $0000 | Room $0121
[$0C:$CEF4] $7E:F342[2] = $0000 | Hookshot
[$0C:$CEFB] $7E:F442[2] = $0000 | 
[$0C:$CEDF] $7E:F044[2] = $0000 | Room $0022
[$0C:$CEE6] $7E:F144[2] = $0000 | Room $00A2
[$0C:$CEED] $7E:F244[2] = $0000 | Room $0122
[$0C:$CEF4] $7E:F344[2] = $0000 | Mushroom
[$0C:$CEFB] $7E:F444[2] = $0000 | 
[$0C:$CEDF] $7E:F046[2] = $0000 | Room $0023
[$0C:$CEE6] $7E:F146[2] = $0000 | Room $00A3
[$0C:$CEED] $7E:F246[2] = $0000 | Room $0123
[$0C:$CEF4] $7E:F346[2] = $0000 | Ice Rod
[$0C:$CEFB] $7E:F446[2] = $0000 | 
[$0C:$CEDF] $7E:F048[2] = $0000 | Room $0024
[$0C:$CEE6] $7E:F148[2] = $0000 | Room $00A4
[$0C:$CEED] $7E:F248[2] = $0000 | Room $0124
[$0C:$CEF4] $7E:F348[2] = $0000 | Ether Medallion
[$0C:$CEFB] $7E:F448[2] = $0000 | 
[$0C:$CEDF] $7E:F04A[2] = $0000 | Room $0025
[$0C:$CEE6] $7E:F14A[2] = $0000 | Room $00A5
[$0C:$CEED] $7E:F24A[2] = $0000 | Room $0125
[$0C:$CEF4] $7E:F34A[2] = $0000 | Torch
[$0C:$CEFB] $7E:F44A[2] = $0000 | 
[$0C:$CEDF] $7E:F04C[2] = $0000 | Room $0026
[$0C:$CEE6] $7E:F14C[2] = $0000 | Room $00A6
[$0C:$CEED] $7E:F24C[2] = $0000 | Room $0126
[$0C:$CEF4] $7E:F34C[2] = $0000 | Flute
[$0C:$CEFB] $7E:F44C[2] = $0000 | 
[$0C:$CEDF] $7E:F04E[2] = $0000 | Room $0027
[$0C:$CEE6] $7E:F14E[2] = $0000 | Room $00A7
[$0C:$CEED] $7E:F24E[2] = $0000 | Room $0127
[$0C:$CEF4] $7E:F34E[2] = $0000 | Book of Mudora
[$0C:$CEFB] $7E:F44E[2] = $0000 | 
[$0C:$CEDF] $7E:F050[2] = $0000 | Room $0028
[$0C:$CEE6] $7E:F150[2] = $0000 | Room $00A8
[$0C:$CEED] $7E:F250[2] = $0000 | 
[$0C:$CEF4] $7E:F350[2] = $0000 | Cane of Somaria
[$0C:$CEFB] $7E:F450[2] = $0000 | 
[$0C:$CEDF] $7E:F052[2] = $0000 | Room $0029
[$0C:$CEE6] $7E:F152[2] = $0000 | Room $00A9
[$0C:$CEED] $7E:F252[2] = $0000 | 
[$0C:$CEF4] $7E:F352[2] = $0000 | Magic Cape
[$0C:$CEFB] $7E:F452[2] = $0000 | 
[$0C:$CEDF] $7E:F054[2] = $0000 | Room $002A
[$0C:$CEE6] $7E:F154[2] = $0000 | Room $00AA
[$0C:$CEED] $7E:F254[2] = $0000 | 
[$0C:$CEF4] $7E:F354[2] = $0000 | Gloves
[$0C:$CEFB] $7E:F454[2] = $0000 | 
[$0C:$CEDF] $7E:F056[2] = $0000 | Room $002B
[$0C:$CEE6] $7E:F156[2] = $0000 | Room $00AB
[$0C:$CEED] $7E:F256[2] = $0000 | 
[$0C:$CEF4] $7E:F356[2] = $0000 | Flippers
[$0C:$CEFB] $7E:F456[2] = $0000 | 
[$0C:$CEDF] $7E:F058[2] = $0000 | Room $002C
[$0C:$CEE6] $7E:F158[2] = $0000 | Room $00AC
[$0C:$CEED] $7E:F258[2] = $0000 | 
[$0C:$CEF4] $7E:F358[2] = $0000 | 
[$0C:$CEFB] $7E:F458[2] = $0000 | 
[$0C:$CEDF] $7E:F05A[2] = $0000 | Room $002D
[$0C:$CEE6] $7E:F15A[2] = $0000 | Room $00AD
[$0C:$CEED] $7E:F25A[2] = $0000 | 
[$0C:$CEF4] $7E:F35A[2] = $0000 | Shield
[$0C:$CEFB] $7E:F45A[2] = $0000 | 
[$0C:$CEDF] $7E:F05C[2] = $0000 | Room $002E
[$0C:$CEE6] $7E:F15C[2] = $0000 | Room $00AE
[$0C:$CEED] $7E:F25C[2] = $0000 | 
[$0C:$CEF4] $7E:F35C[2] = $0000 | Bottle
[$0C:$CEFB] $7E:F45C[2] = $0000 | 
[$0C:$CEDF] $7E:F05E[2] = $0000 | Room $002F
[$0C:$CEE6] $7E:F15E[2] = $0000 | Room $00AF
[$0C:$CEED] $7E:F25E[2] = $0000 | 
[$0C:$CEF4] $7E:F35E[2] = $0000 | 
[$0C:$CEFB] $7E:F45E[2] = $0000 | 
[$0C:$CEDF] $7E:F060[2] = $0000 | Room $0030
[$0C:$CEE6] $7E:F160[2] = $0000 | Room $00B0
[$0C:$CEED] $7E:F260[2] = $0000 | 
[$0C:$CEF4] $7E:F360[2] = $0000 | Rupees (goal)
[$0C:$CEFB] $7E:F460[2] = $0000 | 
[$0C:$CEDF] $7E:F062[2] = $0000 | Room $0031
[$0C:$CEE6] $7E:F162[2] = $0000 | Room $00B1
[$0C:$CEED] $7E:F262[2] = $0000 | 
[$0C:$CEF4] $7E:F362[2] = $0000 | Rupees (actual)
[$0C:$CEFB] $7E:F462[2] = $0000 | 
[$0C:$CEDF] $7E:F064[2] = $0000 | Room $0032
[$0C:$CEE6] $7E:F164[2] = $0000 | Room $00B2
[$0C:$CEED] $7E:F264[2] = $0000 | 
[$0C:$CEF4] $7E:F364[2] = $0000 | Compass1
[$0C:$CEFB] $7E:F464[2] = $0000 | 
[$0C:$CEDF] $7E:F066[2] = $0000 | Room $0033
[$0C:$CEE6] $7E:F166[2] = $0000 | Room $00B3
[$0C:$CEED] $7E:F266[2] = $0000 | 
[$0C:$CEF4] $7E:F366[2] = $0000 | BigKey1
[$0C:$CEFB] $7E:F466[2] = $0000 | 
[$0C:$CEDF] $7E:F068[2] = $0000 | Room $0034
[$0C:$CEE6] $7E:F168[2] = $0000 | Room $00B4
[$0C:$CEED] $7E:F268[2] = $0000 | 
[$0C:$CEF4] $7E:F368[2] = $0000 | Dungeon map1
[$0C:$CEFB] $7E:F468[2] = $0000 | 
[$0C:$CEDF] $7E:F06A[2] = $0000 | Room $0035
[$0C:$CEE6] $7E:F16A[2] = $0000 | Room $00B5
[$0C:$CEED] $7E:F26A[2] = $0000 | 
[$0C:$CEF4] $7E:F36A[2] = $0000 | 
[$0C:$CEFB] $7E:F46A[2] = $0000 | 
[$0C:$CEDF] $7E:F06C[2] = $0000 | Room $0036
[$0C:$CEE6] $7E:F16C[2] = $0000 | Room $00B6
[$0C:$CEED] $7E:F26C[2] = $0000 | 
[$0C:$CEF4] $7E:F36C[2] = $1818 | Health (goal)
[$0C:$CEFB] $7E:F46C[2] = $0000 | 
[$0C:$CEDF] $7E:F06E[2] = $0000 | Room $0037
[$0C:$CEE6] $7E:F16E[2] = $0000 | Room $00B7
[$0C:$CEED] $7E:F26E[2] = $0000 | 
[$0C:$CEF4] $7E:F36E[2] = $0000 | Magic Power
[$0C:$CEFB] $7E:F46E[2] = $0000 | 
[$0C:$CEDF] $7E:F070[2] = $0000 | Room $0038
[$0C:$CEE6] $7E:F170[2] = $0000 | Room $00B8
[$0C:$CEED] $7E:F270[2] = $0000 | 
[$0C:$CEF4] $7E:F370[2] = $0000 | Bomb Upgrades
[$0C:$CEFB] $7E:F470[2] = $0000 | 
[$0C:$CEDF] $7E:F072[2] = $0000 | Room $0039
[$0C:$CEE6] $7E:F172[2] = $0000 | Room $00B9
[$0C:$CEED] $7E:F272[2] = $0000 | 
[$0C:$CEF4] $7E:F372[2] = $0000 | Hearts filler
[$0C:$CEFB] $7E:F472[2] = $0000 | 
[$0C:$CEDF] $7E:F074[2] = $0000 | Room $003A
[$0C:$CEE6] $7E:F174[2] = $0000 | Room $00BA
[$0C:$CEED] $7E:F274[2] = $0000 | 
[$0C:$CEF4] $7E:F374[2] = $0000 | Pendants
[$0C:$CEFB] $7E:F474[2] = $0000 | 
[$0C:$CEDF] $7E:F076[2] = $0000 | Room $003B
[$0C:$CEE6] $7E:F176[2] = $0000 | Room $00BB
[$0C:$CEED] $7E:F276[2] = $0000 | 
[$0C:$CEF4] $7E:F376[2] = $0000 | Arrow filler
[$0C:$CEFB] $7E:F476[2] = $0000 | 
[$0C:$CEDF] $7E:F078[2] = $0000 | Room $003C
[$0C:$CEE6] $7E:F178[2] = $0000 | Room $00BC
[$0C:$CEED] $7E:F278[2] = $0000 | 
[$0C:$CEF4] $7E:F378[2] = $F800 | ????
[$0C:$CEFB] $7E:F478[2] = $0000 | 
[$0C:$CEDF] $7E:F07A[2] = $0000 | Room $003D
[$0C:$CEE6] $7E:F17A[2] = $0000 | Room $00BD
[$0C:$CEED] $7E:F27A[2] = $0000 | 
[$0C:$CEF4] $7E:F37A[2] = $0000 | Crystals
[$0C:$CEFB] $7E:F47A[2] = $0000 | 
[$0C:$CEDF] $7E:F07C[2] = $0000 | Room $003E
[$0C:$CEE6] $7E:F17C[2] = $0000 | Room $00BE
[$0C:$CEED] $7E:F27C[2] = $0000 | 
[$0C:$CEF4] $7E:F37C[2] = $0000 | Key for dungeon $00
[$0C:$CEFB] $7E:F47C[2] = $0000 | 
[$0C:$CEDF] $7E:F07E[2] = $0000 | Room $003F
[$0C:$CEE6] $7E:F17E[2] = $0000 | Room $00BF
[$0C:$CEED] $7E:F27E[2] = $0000 | 
[$0C:$CEF4] $7E:F37E[2] = $0000 | Key for dungeon $02
[$0C:$CEFB] $7E:F47E[2] = $0000 | 
[$0C:$CEDF] $7E:F080[2] = $0000 | Room $0040
[$0C:$CEE6] $7E:F180[2] = $0000 | Room $00C0
[$0C:$CEED] $7E:F280[2] = $0000 | Overworld $00
[$0C:$CEF4] $7E:F380[2] = $0000 | Key for dungeon $04
[$0C:$CEFB] $7E:F480[2] = $0000 | 
[$0C:$CEDF] $7E:F082[2] = $0000 | Room $0041
[$0C:$CEE6] $7E:F182[2] = $0000 | Room $00C1
[$0C:$CEED] $7E:F282[2] = $0000 | Overworld $02
[$0C:$CEF4] $7E:F382[2] = $0000 | Key for dungeon $06
[$0C:$CEFB] $7E:F482[2] = $0000 | 
[$0C:$CEDF] $7E:F084[2] = $0000 | Room $0042
[$0C:$CEE6] $7E:F184[2] = $0000 | Room $00C2
[$0C:$CEED] $7E:F284[2] = $0000 | Overworld $04
[$0C:$CEF4] $7E:F384[2] = $0000 | Key for dungeon $08
[$0C:$CEFB] $7E:F484[2] = $0000 | 
[$0C:$CEDF] $7E:F086[2] = $0000 | Room $0043
[$0C:$CEE6] $7E:F186[2] = $0000 | Room $00C3
[$0C:$CEED] $7E:F286[2] = $0000 | Overworld $06
[$0C:$CEF4] $7E:F386[2] = $0000 | Key for dungeon $0A
[$0C:$CEFB] $7E:F486[2] = $0000 | 
[$0C:$CEDF] $7E:F088[2] = $0000 | Room $0044
[$0C:$CEE6] $7E:F188[2] = $0000 | Room $00C4
[$0C:$CEED] $7E:F288[2] = $0000 | Overworld $08
[$0C:$CEF4] $7E:F388[2] = $0000 | Key for dungeon $0C
[$0C:$CEFB] $7E:F488[2] = $0000 | 
[$0C:$CEDF] $7E:F08A[2] = $0000 | Room $0045
[$0C:$CEE6] $7E:F18A[2] = $0000 | Room $00C5
[$0C:$CEED] $7E:F28A[2] = $0000 | Overworld $0A
[$0C:$CEF4] $7E:F38A[2] = $0000 | 
[$0C:$CEFB] $7E:F48A[2] = $0000 | 
[$0C:$CEDF] $7E:F08C[2] = $0000 | Room $0046
[$0C:$CEE6] $7E:F18C[2] = $0000 | Room $00C6
[$0C:$CEED] $7E:F28C[2] = $0000 | Overworld $0C
[$0C:$CEF4] $7E:F38C[2] = $0000 | 
[$0C:$CEFB] $7E:F48C[2] = $0000 | 
[$0C:$CEDF] $7E:F08E[2] = $0000 | Room $0047
[$0C:$CEE6] $7E:F18E[2] = $0000 | Room $00C7
[$0C:$CEED] $7E:F28E[2] = $0000 | Overworld $0E
[$0C:$CEF4] $7E:F38E[2] = $0000 | 
[$0C:$CEFB] $7E:F48E[2] = $0000 | 
[$0C:$CEDF] $7E:F090[2] = $0000 | Room $0048
[$0C:$CEE6] $7E:F190[2] = $0000 | Room $00C8
[$0C:$CEED] $7E:F290[2] = $0000 | Overworld $10
[$0C:$CEF4] $7E:F390[2] = $0000 | 
[$0C:$CEFB] $7E:F490[2] = $0000 | 
[$0C:$CEDF] $7E:F092[2] = $0000 | Room $0049
[$0C:$CEE6] $7E:F192[2] = $0000 | Room $00C9
[$0C:$CEED] $7E:F292[2] = $0000 | Overworld $12
[$0C:$CEF4] $7E:F392[2] = $0000 | 
[$0C:$CEFB] $7E:F492[2] = $0000 | 
[$0C:$CEDF] $7E:F094[2] = $0000 | Room $004A
[$0C:$CEE6] $7E:F194[2] = $0000 | Room $00CA
[$0C:$CEED] $7E:F294[2] = $0000 | Overworld $14
[$0C:$CEF4] $7E:F394[2] = $0000 | 
[$0C:$CEFB] $7E:F494[2] = $0000 | 
[$0C:$CEDF] $7E:F096[2] = $0000 | Room $004B
[$0C:$CEE6] $7E:F196[2] = $0000 | Room $00CB
[$0C:$CEED] $7E:F296[2] = $0000 | Overworld $16
[$0C:$CEF4] $7E:F396[2] = $0000 | 
[$0C:$CEFB] $7E:F496[2] = $0000 | 
[$0C:$CEDF] $7E:F098[2] = $0000 | Room $004C
[$0C:$CEE6] $7E:F198[2] = $0000 | Room $00CC
[$0C:$CEED] $7E:F298[2] = $0000 | Overworld $18
[$0C:$CEF4] $7E:F398[2] = $0000 | 
[$0C:$CEFB] $7E:F498[2] = $0000 | 
[$0C:$CEDF] $7E:F09A[2] = $0000 | Room $004D
[$0C:$CEE6] $7E:F19A[2] = $0000 | Room $00CD
[$0C:$CEED] $7E:F29A[2] = $0000 | Overworld $1A
[$0C:$CEF4] $7E:F39A[2] = $0000 | 
[$0C:$CEFB] $7E:F49A[2] = $0000 | 
[$0C:$CEDF] $7E:F09C[2] = $0000 | Room $004E
[$0C:$CEE6] $7E:F19C[2] = $0000 | Room $00CE
[$0C:$CEED] $7E:F29C[2] = $0000 | Overworld $1C
[$0C:$CEF4] $7E:F39C[2] = $0000 | 
[$0C:$CEFB] $7E:F49C[2] = $0000 | 
[$0C:$CEDF] $7E:F09E[2] = $0000 | Room $004F
[$0C:$CEE6] $7E:F19E[2] = $0000 | Room $00CF
[$0C:$CEED] $7E:F29E[2] = $0000 | Overworld $1E
[$0C:$CEF4] $7E:F39E[2] = $0000 | 
[$0C:$CEFB] $7E:F49E[2] = $0000 | 
[$0C:$CEDF] $7E:F0A0[2] = $0000 | Room $0050
[$0C:$CEE6] $7E:F1A0[2] = $0000 | Room $00D0
[$0C:$CEED] $7E:F2A0[2] = $0000 | Overworld $20
[$0C:$CEF4] $7E:F3A0[2] = $0000 | 
[$0C:$CEFB] $7E:F4A0[2] = $0000 | 
[$0C:$CEDF] $7E:F0A2[2] = $0000 | Room $0051
[$0C:$CEE6] $7E:F1A2[2] = $0000 | Room $00D1
[$0C:$CEED] $7E:F2A2[2] = $0000 | Overworld $22
[$0C:$CEF4] $7E:F3A2[2] = $0000 | 
[$0C:$CEFB] $7E:F4A2[2] = $0000 | 
[$0C:$CEDF] $7E:F0A4[2] = $0000 | Room $0052
[$0C:$CEE6] $7E:F1A4[2] = $0000 | Room $00D2
[$0C:$CEED] $7E:F2A4[2] = $0000 | Overworld $24
[$0C:$CEF4] $7E:F3A4[2] = $0000 | 
[$0C:$CEFB] $7E:F4A4[2] = $0000 | 
[$0C:$CEDF] $7E:F0A6[2] = $0000 | Room $0053
[$0C:$CEE6] $7E:F1A6[2] = $0000 | Room $00D3
[$0C:$CEED] $7E:F2A6[2] = $0000 | Overworld $26
[$0C:$CEF4] $7E:F3A6[2] = $0000 | 
[$0C:$CEFB] $7E:F4A6[2] = $0000 | 
[$0C:$CEDF] $7E:F0A8[2] = $0000 | Room $0054
[$0C:$CEE6] $7E:F1A8[2] = $0000 | Room $00D4
[$0C:$CEED] $7E:F2A8[2] = $0000 | Overworld $28
[$0C:$CEF4] $7E:F3A8[2] = $0000 | 
[$0C:$CEFB] $7E:F4A8[2] = $0000 | 
[$0C:$CEDF] $7E:F0AA[2] = $0000 | Room $0055
[$0C:$CEE6] $7E:F1AA[2] = $0000 | Room $00D5
[$0C:$CEED] $7E:F2AA[2] = $0000 | Overworld $2A
[$0C:$CEF4] $7E:F3AA[2] = $0000 | 
[$0C:$CEFB] $7E:F4AA[2] = $0000 | 
[$0C:$CEDF] $7E:F0AC[2] = $0000 | Room $0056
[$0C:$CEE6] $7E:F1AC[2] = $0000 | Room $00D6
[$0C:$CEED] $7E:F2AC[2] = $0000 | Overworld $2C
[$0C:$CEF4] $7E:F3AC[2] = $0000 | 
[$0C:$CEFB] $7E:F4AC[2] = $0000 | 
[$0C:$CEDF] $7E:F0AE[2] = $0000 | Room $0057
[$0C:$CEE6] $7E:F1AE[2] = $0000 | Room $00D7
[$0C:$CEED] $7E:F2AE[2] = $0000 | Overworld $2E
[$0C:$CEF4] $7E:F3AE[2] = $0000 | 
[$0C:$CEFB] $7E:F4AE[2] = $0000 | 
[$0C:$CEDF] $7E:F0B0[2] = $0000 | Room $0058
[$0C:$CEE6] $7E:F1B0[2] = $0000 | Room $00D8
[$0C:$CEED] $7E:F2B0[2] = $0000 | Overworld $30
[$0C:$CEF4] $7E:F3B0[2] = $0000 | 
[$0C:$CEFB] $7E:F4B0[2] = $0000 | 
[$0C:$CEDF] $7E:F0B2[2] = $0000 | Room $0059
[$0C:$CEE6] $7E:F1B2[2] = $0000 | Room $00D9
